时间,实际电流
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,45.6
2018/9/17 18:08,45.6
2018/9/17 18:08,45.6
2018/9/17 18:08,45.6
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,47.6
2018/9/17 18:08,47.2
2018/9/17 18:08,46.8
2018/9/17 18:08,46.8
2018/9/17 18:08,46.8
2018/9/17 18:08,46.8
2018/9/17 18:08,46.8
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,47.2
2018/9/17 18:08,44
2018/9/17 18:08,44
2018/9/17 18:08,44
2018/9/17 18:08,44
2018/9/17 18:08,44
2018/9/17 18:08,44
2018/9/17 18:08,44
2018/9/17 18:08,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,44
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,46.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.8
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.8
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:09,48.4
2018/9/17 18:10,48.4
2018/9/17 18:10,48.4
